No,surname,first_name,Games,Age,Date of Birth,Height,Weight,Origin,Position_1,Position_2
11,Miller,Touk,160,27yr,22 Feb 1996,178cm,84kg,Calder Cannons,Midfield,NA
49,Moyle,Ned,0,21yr,15 Feb 2002,205cm,96kg,Oakleigh Chargers,Ruck,NA
47,Oea,Hewago,5,21yr 3mth,13 Nov 2001,172cm,70kg,Suns Academy,Forward,NA
27,Powell,Wil,69,23yr 6mth,26 Aug 1999,185cm,79kg,Claremont,Defender,NA
41,Rosas,Malcolm,19,21yr 8mth,27 Jun 2001,175cm,70kg,NT Thunder,Forward,NA
18,Rowell,Matt,39,21yr 7mth,1 Jul 2001,180cm,78kg,Oakleigh Chargers,Midfield,NA
6,Sexton,Alex,158,29yr 2mth,3 Dec 1993,186cm,82kg,Redland,Forward,NA
20,Sharp,Jeremy,23,21yr 6mth,13 Aug 2001,189cm,81kg,East Fremantle,Midfield,NA
42,Stein,Jake,20,29yr 1mth,17 Jan 1994,195cm,96kg,Penrith,Defender,NA
24,Swallow,David,197,30yr 3mth,19 Nov 1992,185cm,87kg,East Fremantle,Midfield,NA
21,Tsitas,James,1,27yr 11mth,3 Mar 1995,181cm,78kg,Geelong Falcons,Midfield,Forward
32,Uwland,Bodhi,0,19yr 7mth,25 Jul 2003,185cm,84kg,Allies,Defender,Midfield
14,Weller,Lachlan,127,27yr,23 Feb 1996,181cm,83kg,Southport,Defender,NA
28,Witts,Jarrod,144,30yr 5mth,13 Sep 1992,209cm,111kg,Sydney University,Ruck,NA
